Year,Month,Month Start Date,Community,Total Complaints,Total Number of Callers,data_as_of,data_loaded_at
2022,3,2022/03/01,Hillsborough,6,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,6,2021/06/01,Menlo Park,1172,12,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,7,2020/07/01,Oakland,4769,13,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,8,2020/08/01,Los Gatos,5891,62,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,8,2020/08/01,Orinda,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,9,2020/09/01,Oakland,4178,14,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,9,2020/09/01,South San Francisco,6,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2024,2,2024/02/01,Capitola,21,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,12,2019/12/01,Redwood City,1886,18,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,3,2020/03/01,Scotts Valley,9567,61,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,6,2020/06/01,Menlo Park,1454,23,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,6,2020/06/01,Oakland,3915,16,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,11,2020/11/01,Los Gatos,5796,62,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,1,2023/01/01,Emerald Hills,424,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,3,2023/03/01,Capitola,65,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,4,2023/04/01,Emerald Hills,690,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,3,2023/03/01,Alamo,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,6,2023/06/01,94402,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,8,2023/08/01,Foster City,60,10,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,2,2023/02/01,Menlo Park,1277,9,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,2,2023/02/01,Stanford,543,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,4,2023/04/01,Santa Cruz,9521,42,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,8,2021/08/01,Emerald Hills,170,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,6,2023/06/01,Richmond,221,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,6,2023/06/01,Lafayette,5,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,8,2023/08/01,San Carlos,10,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,8,2021/08/01,Watsonville,111,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,11,2021/11/01,Portola Valley,17448,20,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,1,2022/01/01,San Carlos,52,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,3,2022/03/01,Stanford,468,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,1,2022/01/01,Aptos,10,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,4,2022/04/01,Orinda,26,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
